  0%|                                                                                                                                                                                     | 0/6468 [00:00<?, ?it/s]Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                                                                                                                                                                                   
{'loss': 1.4926, 'grad_norm': 13.515008926391602, 'learning_rate': 4.882498453927026e-05, 'epoch': 0.02}
{'loss': 1.732, 'grad_norm': 12.967406272888184, 'learning_rate': 4.881725417439703e-05, 'epoch': 0.02}
{'loss': 2.1849, 'grad_norm': 9.493254661560059, 'learning_rate': 4.880952380952381e-05, 'epoch': 0.02}
{'loss': 0.6785, 'grad_norm': 14.709222793579102, 'learning_rate': 4.880179344465059e-05, 'epoch': 0.02}
{'loss': 1.829, 'grad_norm': 11.298453330993652, 'learning_rate': 4.879406307977737e-05, 'epoch': 0.02}
{'loss': 1.8004, 'grad_norm': 13.255935668945312, 'learning_rate': 4.878633271490415e-05, 'epoch': 0.02}
{'loss': 2.0507, 'grad_norm': 11.658638000488281, 'learning_rate': 4.8778602350030924e-05, 'epoch': 0.02}
{'loss': 1.9963, 'grad_norm': 16.593290328979492, 'learning_rate': 4.87708719851577e-05, 'epoch': 0.02}
{'loss': 1.6674, 'grad_norm': 11.589496612548828, 'learning_rate': 4.876314162028448e-05, 'epoch': 0.02}
{'loss': 1.8782, 'grad_norm': 10.63012981414795, 'learning_rate': 4.875541125541126e-05, 'epoch': 0.03}
{'loss': 1.4976, 'grad_norm': 12.751277923583984, 'learning_rate': 4.8747680890538036e-05, 'epoch': 0.03}
{'loss': 1.8349, 'grad_norm': 11.724843978881836, 'learning_rate': 4.873995052566481e-05, 'epoch': 0.03}
{'loss': 2.0341, 'grad_norm': 11.447352409362793, 'learning_rate': 4.873222016079159e-05, 'epoch': 0.03}
{'loss': 2.0015, 'grad_norm': 9.785191535949707, 'learning_rate': 4.872448979591837e-05, 'epoch': 0.03}
{'loss': 1.3049, 'grad_norm': 12.343053817749023, 'learning_rate': 4.871675943104515e-05, 'epoch': 0.03}
{'loss': 1.2532, 'grad_norm': 11.885236740112305, 'learning_rate': 4.8709029066171925e-05, 'epoch': 0.03}
{'loss': 1.7658, 'grad_norm': 15.247982025146484, 'learning_rate': 4.87012987012987e-05, 'epoch': 0.03}
{'loss': 1.1001, 'grad_norm': 10.052053451538086, 'learning_rate': 4.8693568336425484e-05, 'epoch': 0.03}
{'loss': 2.0268, 'grad_norm': 10.006111145019531, 'learning_rate': 4.868583797155226e-05, 'epoch': 0.03}
{'loss': 1.8508, 'grad_norm': 16.307634353637695, 'learning_rate': 4.867810760667904e-05, 'epoch': 0.03}
{'loss': 0.9927, 'grad_norm': 9.529214859008789, 'learning_rate': 4.8670377241805814e-05, 'epoch': 0.03}
{'loss': 1.9144, 'grad_norm': 12.408907890319824, 'learning_rate': 4.86626468769326e-05, 'epoch': 0.03}
{'loss': 2.0758, 'grad_norm': 7.94065523147583, 'learning_rate': 4.865491651205937e-05, 'epoch': 0.03}
{'loss': 1.6332, 'grad_norm': 11.86599349975586, 'learning_rate': 4.864718614718615e-05, 'epoch': 0.03}
{'loss': 1.489, 'grad_norm': 10.858713150024414, 'learning_rate': 4.8639455782312926e-05, 'epoch': 0.03}
{'loss': 0.9714, 'grad_norm': 10.94079303741455, 'learning_rate': 4.86317254174397e-05, 'epoch': 0.03}
{'loss': 1.7258, 'grad_norm': 9.719542503356934, 'learning_rate': 4.8623995052566486e-05, 'epoch': 0.03}
{'loss': 1.9973, 'grad_norm': 9.635285377502441, 'learning_rate': 4.861626468769326e-05, 'epoch': 0.03}
{'loss': 1.7309, 'grad_norm': 9.562444686889648, 'learning_rate': 4.860853432282004e-05, 'epoch': 0.03}
{'loss': 2.603, 'grad_norm': 19.36349105834961, 'learning_rate': 4.8600803957946815e-05, 'epoch': 0.03}
{'loss': 1.2671, 'grad_norm': 12.751208305358887, 'learning_rate': 4.85930735930736e-05, 'epoch': 0.03}
{'loss': 1.2931, 'grad_norm': 10.117895126342773, 'learning_rate': 4.8585343228200374e-05, 'epoch': 0.03}
{'loss': 1.9227, 'grad_norm': 12.793671607971191, 'learning_rate': 4.857761286332715e-05, 'epoch': 0.03}
